,ID,Generation,Region,Name,Type,Pokémon.Role,Legendary,Sex,Height,Weight,Health,Attack,Sp.Attack,Defense,Sp.Defense,Speed,Total,Abilities,Height.ft,Weight.lbs,Weight.Class,Height.Class
67,31,1,Kanto,Nidoqueen,Ground,"Tank, Debuffer",No,Female,1.3 m (4′03″),60.0 kg (132.3 lbs),90,92,75,87,85,76,505,"Poison Point, Rivalry, Sheer Force",4.03,132.3,Class 3,Class 3
68,32,1,Kanto,Nidoran,Poison,DPS Melee,No,Male,0.5 m (1′08″),9.0 kg (19.8 lbs),46,57,40,40,40,50,273,"Poison Point, Rivalry, Hustle",1.08,19.8,Class 2,Class 1
69,33,1,Kanto,Nidorino,Poison,DPS Melee,No,Male,0.9 m (2′11″),19.5 kg (43.0 lbs),61,72,55,57,55,65,365,"Poison Point, Rivalry, Hustle",2.11,43,Class 2,Class 2
70,34,1,Kanto,Nidoking,Poison,"DPS Melee, Debuffer",No,Male,1.4 m (4′07″),62.0 kg (136.7 lbs),81,102,85,77,75,85,505,"Poison Point, Rivalry, Sheer Force",4.07,136.7,Class 3,Class 3
71,34,1,Kanto,Nidoking,Ground,"DPS Melee, Debuffer",No,Male,1.4 m (4′07″),62.0 kg (136.7 lbs),81,102,85,77,75,85,505,"Poison Point, Rivalry, Sheer Force",4.07,136.7,Class 3,Class 3
72,35,1,Kanto,Clefairy,Fairy,"Healer, Support",No,"Male, Female",0.6 m (2′00″),7.5 kg (16.5 lbs),70,45,60,48,65,35,323,"Cute Charm, Magic Guard, Friend Guard",2,16.5,Class 1,Class 1
73,36,1,Kanto,Clefable,Fairy,"Healer, Support, Mage",No,"Male, Female",1.3 m (4′03″),40.0 kg (88.2 lbs),95,70,95,73,90,60,483,"Cute Charm, Magic Guard, Unaware",4.03,88.2,Class 3,Class 3
74,37,1,Kanto,Vulpix,Fire,DPS Ranged,No,"Male, Female",0.6 m (2′00″),9.9 kg (21.8 lbs),38,41,50,40,65,65,299,"Flash Fire, Drought",2,21.8,Class 2,Class 1
75,37,7,Alola,"Vulpix
Alolan Vulpix",Ice,"DPS Ranged, Crowd Controller",No,"Male, Female",0.6 m (2′00″),9.9 kg (21.8 lbs),38,41,50,40,65,65,299,"Flash Fire, Drought",2,21.8,Class 2,Class 1
76,38,1,Kanto,Ninetales,Fire,"DPS Ranged, Debuffer",No,"Male, Female",1.1 m (3′07″),19.9 kg (43.9 lbs),73,76,81,75,100,100,505,"Flash Fire, Drought",3.07,43.9,Class 2,Class 3
77,38,7,Alola,"Ninetales
Alolan Ninetales",Ice,"DPS Ranged, Debuffer, Crowd Controller",No,"Male, Female",1.1 m (3′07″),19.9 kg (43.9 lbs),73,67,81,75,100,109,505,"Flash Fire, Drought",3.07,43.9,Class 2,Class 3
78,38,7,Alola,"Ninetales
Alolan Ninetales",Fairy,"DPS Ranged, Debuffer, Crowd Controller",No,"Male, Female",1.1 m (3′07″),19.9 kg (43.9 lbs),73,67,81,75,100,109,505,"Flash Fire, Drought",3.07,43.9,Class 2,Class 3
79,39,1,Kanto,Jigglypuff,Normal,"Healer, Buffer",No,"Male, Female",0.5 m (1′08″),5.5 kg (12.1 lbs),115,45,45,20,25,20,270,"Cute Charm, Competitive, Friend Guard",1.08,12.1,Class 1,Class 1
80,39,1,Kanto,Jigglypuff,Fairy,"Healer, Buffer",No,"Male, Female",0.5 m (1′08″),5.5 kg (12.1 lbs),115,45,45,20,25,20,270,"Cute Charm, Competitive, Friend Guard",1.08,12.1,Class 1,Class 1
81,40,1,Kanto,Wigglytuff,Normal,"Healer, Buffer, Crowd Controller",No,"Male, Female",1.0 m (3′03″),12.0 kg (26.5 lbs),140,70,85,45,50,45,435,"Cute Charm, Competitive, Frisk",3.03,26.5,Class 2,Class 2
82,40,1,Kanto,Wigglytuff,Fairy,"Healer, Buffer, Crowd Controller",No,"Male, Female",1.0 m (3′03″),12.0 kg (26.5 lbs),140,70,85,45,50,45,435,"Cute Charm, Competitive, Frisk",3.03,26.5,Class 2,Class 2
83,41,1,Kanto,Zubat,Poison,"Scout, Debuffer",No,"Male, Female",0.8 m (2′07″),7.5 kg (16.5 lbs),40,45,30,35,40,55,245,"Inner Focus, Infiltrator",2.07,16.5,Class 1,Class 2
84,41,1,Kanto,Zubat,Flying,"Scout, Debuffer",No,"Male, Female",0.8 m (2′07″),7.5 kg (16.5 lbs),40,45,30,35,40,55,245,"Inner Focus, Infiltrator",2.07,16.5,Class 1,Class 2
85,42,1,Kanto,Golbat,Poison,"Scout, Debuffer, Crowd Controller",No,"Male, Female",1.6 m (5′03″),55.0 kg (121.3 lbs),75,80,65,70,75,90,455,"Inner Focus, Infiltrator",5.03,121.3,Class 3,Class 4
86,42,1,Kanto,Golbat,Flying,"Scout, Debuffer, Crowd Controller",No,"Male, Female",1.6 m (5′03″),55.0 kg (121.3 lbs),75,80,65,70,75,90,455,"Inner Focus, Infiltrator",5.03,121.3,Class 3,Class 4
87,43,1,Kanto,Oddish,Grass,Debuffer,No,"Male, Female",0.5 m (1′08″),5.4 kg (11.9 lbs),45,50,75,55,65,30,320,"Chlorophyll, Run Away",1.08,11.9,Class 1,Class 1
88,43,1,Kanto,Oddish,Poison,Debuffer,No,"Male, Female",0.5 m (1′08″),5.4 kg (11.9 lbs),45,50,75,55,65,30,320,"Chlorophyll, Run Away",1.08,11.9,Class 1,Class 1
89,44,1,Kanto,Gloom,Grass,"Debuffer, Healer",No,"Male, Female",0.8 m (2′07″),8.6 kg (19.0 lbs),60,65,85,70,75,40,395,"Chlorophyll, Stench",2.07,19,Class 1,Class 2
90,44,1,Kanto,Gloom,Poison,"Debuffer, Healer",No,"Male, Female",0.8 m (2′07″),8.6 kg (19.0 lbs),60,65,85,70,75,40,395,"Chlorophyll, Stench",2.07,19,Class 1,Class 2
91,45,1,Kanto,Vileplume,Grass,"Debuffer, Healer, Crowd Controller",No,"Male, Female",1.2 m (3′11″),18.6 kg (41.0 lbs),75,80,110,85,90,50,490,"Chlorophyll, Effect Spore",3.11,41,Class 2,Class 3
92,45,1,Kanto,Vileplume,Poison,"Debuffer, Healer, Crowd Controller",No,"Male, Female",1.2 m (3′11″),18.6 kg (41.0 lbs),75,80,110,85,90,50,490,"Chlorophyll, Effect Spore",3.11,41,Class 2,Class 3
93,46,1,Kanto,Paras,Bug,"Debuffer, Crowd Controller",No,"Male, Female",0.3 m (1′00″),5.4 kg (11.9 lbs),35,70,45,55,55,25,285,"Effect Spore, Dry Skin, Damp",1,11.9,Class 1,Class 1
94,46,1,Kanto,Paras,Grass,"Debuffer, Crowd Controller",No,"Male, Female",0.3 m (1′00″),5.4 kg (11.9 lbs),35,70,45,55,55,25,285,"Effect Spore, Dry Skin, Damp",1,11.9,Class 1,Class 1
95,47,1,Kanto,Parasect,Bug,"Debuffer, Crowd Controller, DPS Melee",No,"Male, Female",1.0 m (3′03″),29.5 kg (65.0 lbs),60,95,60,80,80,30,405,"Effect Spore, Dry Skin, Damp",3.03,65,Class 2,Class 2
96,47,1,Kanto,Parasect,Grass,"Debuffer, Crowd Controller, DPS Melee",No,"Male, Female",1.0 m (3′03″),29.5 kg (65.0 lbs),60,95,60,80,80,30,405,"Effect Spore, Dry Skin, Damp",3.03,65,Class 2,Class 2
97,48,1,Kanto,Venonat,Bug,"Scout, Debuffer",No,"Male, Female",1.0 m (3′03″),30.0 kg (66.1 lbs),60,55,40,50,55,45,305,"Compound Eyes, Tinted Lens, Run Away",3.03,66.1,Class 2,Class 2
98,48,1,Kanto,Venonat,Poison,"Scout, Debuffer",No,"Male, Female",1.0 m (3′03″),30.0 kg (66.1 lbs),60,55,40,50,55,45,305,"Compound Eyes, Tinted Lens, Run Away",3.03,66.1,Class 2,Class 2
99,49,1,Kanto,Venomoth,Bug,"DPS Ranged, Crowd Controller, Debuffer",No,"Male, Female",1.5 m (4′11″),12.5 kg (27.6 lbs),70,65,90,60,75,90,450,"Shield Dust, Tinted Lens, Wonder Skin",4.11,27.6,Class 2,Class 3
100,49,1,Kanto,Venomoth,Poison,"DPS Ranged, Crowd Controller, Debuffer",No,"Male, Female",1.5 m (4′11″),12.5 kg (27.6 lbs),70,65,90,60,75,90,450,"Shield Dust, Tinted Lens, Wonder Skin",4.11,27.6,Class 2,Class 3
101,50,1,Kanto,Diglett,Ground,"DPS Melee, Scout",No,"Male, Female",0.2 m (0′08″),0.8 kg (1.8 lbs),10,55,35,25,45,95,265,"Sand Veil, Arena Trap, Sand Force",0.08,1.8,Class 1,Class 1
102,50,7,Alola,"Diglett
Alolan Diglett",Ground,"DPS Melee, Scout",No,"Male, Female",0.2 m (0′08″),0.8 kg (1.8 lbs),10,55,35,30,45,90,265,"Sand Veil, Arena Trap, Sand Force",0.08,1.8,Class 1,Class 1
103,50,7,Alola,"Diglett
Alolan Diglett",Steel,"DPS Melee, Scout",No,"Male, Female",0.2 m (0′08″),0.8 kg (1.8 lbs),10,55,35,30,45,90,265,"Sand Veil, Arena Trap, Sand Force",0.08,1.8,Class 1,Class 1
104,51,1,Kanto,Dugtrio,Ground,"DPS Melee, Crowd Controller",No,"Male, Female",0.7 m (2′04″),33.3 kg (73.4 lbs),35,100,50,50,70,120,425,"Sand Veil, Arena Trap, Sand Force",2.04,73.4,Class 3,Class 2
105,51,7,Alola,"Dugtrio
Alolan Dugtrio",Ground,"DPS Melee, Crowd Controller",No,"Male, Female",0.7 m (2′04″),33.3 kg (73.4 lbs),35,100,50,60,70,110,425,"Sand Veil, Arena Trap, Sand Force",2.04,73.4,Class 3,Class 2
106,51,7,Alola,"Dugtrio
Alolan Dugtrio",Steel,"DPS Melee, Crowd Controller",No,"Male, Female",0.7 m (2′04″),33.3 kg (73.4 lbs),35,100,50,60,70,110,425,"Sand Veil, Arena Trap, Sand Force",2.04,73.4,Class 3,Class 2
107,52,1,Kanto,Meowth,Normal,"Scout, DPS Melee",No,"Male, Female",0.4 m (1′04″),4.2 kg (9.3 lbs),40,45,40,35,40,90,290,"Pickup, Technician, Unnerve",1.04,9.3,Class 1,Class 1
108,52,7,Alola,"Meowth
Alolan Meowth",Dark,"Scout, DPS Melee",No,"Male, Female",0.4 m (1′04″),4.2 kg (9.3 lbs),40,35,50,35,40,90,290,"Pickup, Technician, Unnerve",1.04,9.3,Class 1,Class 1
109,52,8,Galar,"Meowth
Galarian Meowth",Steel,"Scout, DPS Melee",No,"Male, Female",0.4 m (1′04″),4.2 kg (9.3 lbs),50,65,40,55,40,40,290,"Pickup, Technician, Unnerve",1.04,9.3,Class 1,Class 1
110,53,1,Kanto,Persian,Normal,"DPS Melee, Scout",No,"Male, Female",1.0 m (3′03″),32.0 kg (70.5 lbs),65,70,65,60,65,115,440,"Limber, Technician, Unnerve",3.03,70.5,Class 3,Class 2
111,53,7,Alola,"Persian
Alolan Persian",Dark,"DPS Melee, Scout, Debuffer",No,"Male, Female",1.0 m (3′03″),32.0 kg (70.5 lbs),65,60,75,60,65,115,440,"Limber, Technician, Unnerve",3.03,70.5,Class 3,Class 2
112,54,1,Kanto,Psyduck,Water,Support,No,"Male, Female",0.8 m (2′07″),19.6 kg (43.2 lbs),50,52,65,48,50,55,320,"Damp, Cloud Nine, Swift Swim",2.07,43.2,Class 2,Class 2
113,55,1,Kanto,Golduck,Water,"DPS Ranged, Crowd Controller",No,"Male, Female",1.7 m (5′07″),76.6 kg (168.9 lbs),80,82,95,78,80,85,500,"Damp, Cloud Nine, Swift Swim",5.07,168.9,Class 4,Class 4
114,56,1,Kanto,Mankey,Fighting,DPS Melee,No,"Male, Female",0.5 m (1′08″),28.0 kg (61.7 lbs),40,80,35,35,45,70,305,"Vital Spirit, Anger Point, Defiant",1.08,61.7,Class 2,Class 1
115,57,1,Kanto,Primeape,Fighting,"DPS Melee, Crowd Controller",No,"Male, Female",1.0 m (3′03″),32.0 kg (70.5 lbs),65,105,60,60,70,95,455,"Vital Spirit, Anger Point, Defiant",3.03,70.5,Class 3,Class 2
116,58,1,Kanto,Growlithe,Fire,DPS Melee,No,"Male, Female",0.7 m (2′04″),19.0 kg (41.9 lbs),55,70,70,45,50,60,350,"Intimidate, Flash Fire, Justified",2.04,41.9,Class 2,Class 2
